Transaction_ID,User_ID,Age,Gender,Monthly_Allowance,Parent_Budget_Level,Financial_Profile,Transaction_Date,Day_of_Week,Month,Time_of_Day,Merchant_Category,Amount,Payment_Method,Is_Weekend,Previous_Savings,Current_Savings,Saving_Rate,Spending_Ratio,Avg_Last_7_Transactions,Avg_Last_30_Days,Spending_Trend,Consecutive_Spending_Days,Cafe_Spending_Ratio,Education_Spending_Ratio,Entertainment_Ratio,Weekend_Spending_Ratio,Transaction_Frequency,Device_Changed,Location_Changed,High_Amount_Flag,Night_Transaction,Rapid_Transactions,Fraud_Risk_Score,AI_Label,AI_Reason,Recommended_Action
TX00011,U171,14,Male,810,Low,Balanced,2026-01-03,Saturday,January,Evening,Transportation,8.62,Cash,1,592.0,594.76,0.73,0.01,0,0,0.0,1,0.0,0.0,0.0,1.0,1,0,0,0,0,0,0,Normal,Transaction fits the user's usual behavior and current financial profile.,Approve transaction and continue monitoring behavior.
TX00012,U020,16,Female,990,High,Balanced,2026-03-30,Monday,March,Afternoon,Family_Budget,90.29,Cash,0,336.0,327.41,0.33,0.09,0,0,0.0,1,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,Normal,Transaction fits the user's usual behavior and current financial profile.,Approve transaction and continue monitoring behavior.
TX00013,U048,14,Male,724,High,Spender,2026-01-14,Wednesday,January,Evening,Family_Budget,189.3,Apple_Pay,0,198.0,154.08,0.21,0.26,0,0,0.0,1,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,Normal,Transaction fits the user's usual behavior and current financial profile.,Approve transaction and continue monitoring behavior.
TX00014,U068,17,Female,674,Medium,Balanced,2026-03-26,Thursday,March,Afternoon,Shopping,99.24,Card,0,149.0,137.48,0.2,0.15,0,0,0.0,1,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,Normal,Transaction fits the user's usual behavior and current financial profile.,Approve transaction and continue monitoring behavior.
TX00015,U014,15,Female,1310,Medium,Spender,2026-05-30,Saturday,May,Morning,Gaming,296.93,Apple_Pay,1,313.0,244.47,0.19,0.23,0,0,0.0,1,0.0,0.0,1.0,1.0,1,0,0,0,0,0,5,Overspending,Spending is high compared to allowance and current saving behavior.,Suggest a weekly spending limit and show an alternative saving goal.
TX00016,U162,18,Male,822,Low,Spender,2026-04-03,Friday,April,Morning,Transportation,43.81,Card,1,119.0,110.2,0.13,0.05,0,0,0.0,1,0.0,0.0,0.0,1.0,1,0,0,0,0,0,0,Normal,Transaction fits the user's usual behavior and current financial profile.,Approve transaction and continue monitoring behavior.
TX00017,U075,14,Female,417,Low,Saver,2026-03-13,Friday,March,Evening,Education,55.31,Apple_Pay,1,842.0,841.75,2.02,0.13,0,0,0.0,1,0.0,1.0,0.0,1.0,1,0,0,0,0,0,0,Smart_Purchase,Purchase supports learning and remains within a reasonable spending range.,Approve purchase and recommend a short financial learning challenge.
TX00018,U040,17,Male,1153,Medium,Balanced,2026-05-29,Friday,May,Evening,Shopping,60.91,Apple_Pay,1,620.0,616.63,0.53,0.05,0,0,0.0,1,0.0,0.0,0.0,1.0,1,0,0,0,0,0,4,Normal,Transaction fits the user's usual behavior and current financial profile.,Approve transaction and continue monitoring behavior.
TX00019,U009,17,Female,1446,Low,Spender,2026-02-27,Friday,February,Night,Gaming,94.59,Cash,1,224.0,204.31,0.14,0.07,0,0,0.0,1,0.0,0.0,1.0,1.0,1,0,0,0,1,0,4,Overspending,Spending is high compared to allowance and current saving behavior.,Suggest a weekly spending limit and show an alternative saving goal.
TX00020,U040,17,Male,1153,Medium,Balanced,2026-06-07,Sunday,June,Evening,Shopping,80.48,Apple_Pay,0,616.63,610.32,0.53,0.07,60.91,60.91,0.0,1,0.0,0.0,0.0,0.43,2,0,0,0,0,0,0,Normal,Transaction fits the user's usual behavior and current financial profile.,Approve transaction and continue monitoring behavior.
TX00021,U024,15,Female,435,High,Saver,2026-04-02,Thursday,April,Morning,Savings_Deposit,60.63,Apple_Pay,0,734.0,794.63,1.83,0.14,0,0,0.0,1,0.0,0.0,0.0,0.0,1,0,0,0,0,0,6,Healthy_Saving,User is building savings consistently compared to monthly allowance.,Reward the user with city energy points and show saving progress.
TX00022,U045,18,Male,1585,Low,Spender,2026-04-27,Monday,April,Night,Cafe_Restaurant,35.65,Apple_Pay,0,241.0,235.75,0.15,0.02,0,0,0.0,1,1.0,0.0,0.0,0.0,1,0,0,0,1,0,15,Overspending,Spending is high compared to allowance and current saving behavior.,Suggest a weekly spending limit and show an alternative saving goal.
TX00023,U114,15,Male,1414,Low,Spender,2026-02-14,Saturday,February,Afternoon,Entertainment,173.85,Apple_Pay,1,125.88,87.1,0.06,0.12,60.44,60.44,0.0,1,0.33,0.0,0.33,0.82,3,0,0,0,0,0,0,Overspending,Spending is high compared to allowance and current saving behavior.,Suggest a weekly spending limit and show an alternative saving goal.
TX00024,U017,17,Female,456,Low,Saver,2026-03-30,Monday,March,Afternoon,Gaming,77.51,Card,0,802.0,800.36,1.76,0.17,0,0,0.0,1,0.0,0.0,1.0,0.0,1,0,0,0,0,0,4,Normal,Transaction fits the user's usual behavior and current financial profile.,Approve transaction and continue monitoring behavior.
TX00025,U045,18,Male,1585,Low,Spender,2026-02-10,Tuesday,February,Afternoon,Transportation,27.83,Apple_Pay,0,235.75,232.37,0.15,0.02,35.65,35.65,0.0,2,0.5,0.0,0.0,0.0,2,0,0,0,0,0,1,Overspending,Spending is high compared to allowance and current saving behavior.,Suggest a weekly spending limit and show an alternative saving goal.
TX00026,U018,15,Female,821,Medium,Balanced,2026-06-15,Monday,June,Night,Shopping,518.83,Apple_Pay,0,179.0,105.28,0.13,0.63,0,0,0.0,1,0.0,0.0,0.0,0.0,1,0,1,1,1,0,69,Possible_Fraud,"Unusual transaction pattern detected: high amount, device/location change, or rapid activity.",Ask for parent confirmation and verify the transaction before approval.
TX00027,U088,14,Female,753,Medium,Balanced,2026-01-05,Monday,January,Night,Shopping,216.49,Cash,0,429.0,400.29,0.53,0.29,0,0,0.0,1,0.0,0.0,0.0,0.0,1,0,0,0,1,0,11,Normal,Transaction fits the user's usual behavior and current financial profile.,Approve transaction and continue monitoring behavior.
TX00028,U172,14,Male,378,Low,Saver,2026-06-03,Wednesday,June,Morning,Transportation,24.59,Card,0,879.0,880.81,2.33,0.07,0,0,0.0,1,0.0,0.0,0.0,0.0,1,0,0,0,0,0,1,Normal,Transaction fits the user's usual behavior and current financial profile.,Approve transaction and continue monitoring behavior.
TX00029,U033,13,Female,369,Low,Saver,2026-04-07,Tuesday,April,Afternoon,Cafe_Restaurant,42.66,Bank_Transfer,0,663.0,663.28,1.8,0.12,0,0,0.0,1,1.0,0.0,0.0,0.0,1,0,0,0,0,0,0,Normal,Transaction fits the user's usual behavior and current financial profile.,Approve transaction and continue monitoring behavior.
TX00030,U076,15,Male,527,High,Balanced,2026-06-03,Wednesday,June,Morning,Savings_Deposit,60.56,Bank_Transfer,0,762.0,822.56,1.56,0.11,0,0,0.0,1,0.0,0.0,0.0,0.0,1,0,0,0,0,0,7,Healthy_Saving,User is building savings consistently compared to monthly allowance.,Reward the user with city energy points and show saving progress.
TX00031,U166,15,Male,1564,Low,Spender,2026-06-23,Tuesday,June,Evening,Gaming,54.37,Apple_Pay,0,331.0,321.21,0.21,0.03,0,0,0.0,1,0.0,0.0,1.0,0.0,1,0,0,0,0,0,6,Overspending,Spending is high compared to allowance and current saving behavior.,Suggest a weekly spending limit and show an alternative saving goal.
TX00032,U027,16,Male,443,Medium,Saver,2026-06-28,Sunday,June,Evening,Entertainment,69.89,Card,0,723.0,721.84,1.63,0.16,0,0,0.0,1,0.0,0.0,1.0,0.0,1,0,0,0,0,0,2,Normal,Transaction fits the user's usual behavior and current financial profile.,Approve transaction and continue monitoring behavior.
TX00033,U091,12,Male,789,Low,Saver,2026-01-02,Friday,January,Night,Shopping,413.24,Apple_Pay,1,660.0,634.83,0.8,0.52,0,0,0.0,1,0.0,0.0,0.0,1.0,1,1,1,1,1,0,99,Possible_Fraud,"Unusual transaction pattern detected: high amount, device/location change, or rapid activity.",Ask for parent confirmation and verify the transaction before approval.
TX00034,U063,16,Male,1160,Medium,Spender,2026-06-06,Saturday,June,Afternoon,Transportation,41.47,Bank_Transfer,1,356.0,348.46,0.3,0.04,0,0,0.0,1,0.0,0.0,0.0,1.0,1,0,0,0,0,0,2,Normal,Transaction fits the user's usual behavior and current financial profile.,Approve transaction and continue monitoring behavior.
TX00035,U104,13,Male,721,Medium,Saver,2026-05-28,Thursday,May,Afternoon,Savings_Deposit,118.95,Card,0,928.0,1046.95,1.45,0.16,0,0,0.0,1,0.0,0.0,0.0,0.0,1,0,0,0,0,0,5,Healthy_Saving,User is building savings consistently compared to monthly allowance.,Reward the user with city energy points and show saving progress.
TX00036,U127,16,Female,808,Low,Saver,2026-05-11,Monday,May,Afternoon,Education,73.41,Cash,0,871.0,873.21,1.08,0.09,0,0,0.0,1,0.0,1.0,0.0,0.0,1,0,0,0,0,0,0,Smart_Purchase,Purchase supports learning and remains within a reasonable spending range.,Approve purchase and recommend a short financial learning challenge.
TX00037,U057,18,Female,1227,High,Spender,2026-05-01,Friday,May,Night,Entertainment,85.12,Apple_Pay,1,201.0,183.13,0.15,0.07,0,0,0.0,1,0.0,0.0,1.0,1.0,1,0,1,0,1,0,26,Overspending,Spending is high compared to allowance and current saving behavior.,Suggest a weekly spending limit and show an alternative saving goal.
TX00038,U171,14,Male,810,Low,Balanced,2026-06-02,Tuesday,June,Morning,Shopping,125.28,Card,0,594.76,580.01,0.72,0.15,8.62,8.62,0.0,1,0.0,0.0,0.0,0.06,2,1,0,0,0,0,20,Normal,Transaction fits the user's usual behavior and current financial profile.,Approve transaction and continue monitoring behavior.
TX00039,U176,15,Male,1312,Low,Spender,2026-06-03,Wednesday,June,Evening,Transportation,46.82,Cash,0,361.0,352.5,0.27,0.04,0,0,0.0,1,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,Normal,Transaction fits the user's usual behavior and current financial profile.,Approve transaction and continue monitoring behavior.
TX00040,U086,14,Male,763,Low,Balanced,2026-04-01,Wednesday,April,Evening,Entertainment,28.8,Bank_Transfer,0,317.0,316.5,0.41,0.04,0,0,0.0,1,0.0,0.0,1.0,0.0,1,0,0,0,0,0,5,Normal,Transaction fits the user's usual behavior and current financial profile.,Approve transaction and continue monitoring behavior.
TX00041,U173,16,Female,1035,Low,Balanced,2026-03-31,Tuesday,March,Afternoon,Savings_Deposit,189.01,Card,0,739.0,928.01,0.9,0.18,0,0,0.0,1,0.0,0.0,0.0,0.0,1,0,0,0,0,1,13,Healthy_Saving,User is building savings consistently compared to monthly allowance.,Reward the user with city energy points and show saving progress.
TX00042,U019,12,Female,1478,High,Spender,2026-01-19,Monday,January,Evening,Entertainment,97.88,Bank_Transfer,0,95.0,74.59,0.05,0.07,0,0,0.0,1,0.0,0.0,1.0,0.0,1,0,0,0,0,0,0,Overspending,Spending is high compared to allowance and current saving behavior.,Suggest a weekly spending limit and show an alternative saving goal.
TX00043,U048,14,Male,724,High,Spender,2026-05-25,Monday,May,Afternoon,Cafe_Restaurant,70.31,Card,0,154.08,138.71,0.19,0.1,189.3,189.3,0.0,1,0.5,0.0,0.0,0.0,2,0,0,0,0,0,1,Overspending,Spending is high compared to allowance and current saving behavior.,Suggest a weekly spending limit and show an alternative saving goal.
TX00044,U078,12,Male,880,Medium,Balanced,2026-06-12,Friday,June,Evening,Education,129.26,Card,1,563.0,548.01,0.62,0.15,0,0,0.0,1,0.0,1.0,0.0,1.0,1,0,0,0,0,0,5,Smart_Purchase,Purchase supports learning and remains within a reasonable spending range.,Approve purchase and recommend a short financial learning challenge.
TX00045,U112,18,Male,648,Low,Saver,2026-01-24,Saturday,January,Afternoon,Savings_Deposit,99.46,Bank_Transfer,1,539.0,638.46,0.99,0.15,0,0,0.0,1,0.0,0.0,0.0,0.0,1,0,0,0,0,0,3,Healthy_Saving,User is building savings consistently compared to monthly allowance.,Reward the user with city energy points and show saving progress.
TX00046,U062,16,Male,1077,High,Balanced,2026-06-24,Wednesday,June,Night,Education,60.14,Apple_Pay,0,636.0,632.36,0.59,0.06,0,0,0.0,1,0.0,1.0,0.0,0.0,1,0,0,0,1,0,17,Smart_Purchase,Purchase supports learning and remains within a reasonable spending range.,Approve purchase and recommend a short financial learning challenge.
TX00047,U168,12,Female,809,High,Balanced,2026-02-09,Monday,February,Evening,Cafe_Restaurant,64.83,Apple_Pay,0,271.0,265.32,0.33,0.08,0,0,0.0,1,1.0,0.0,0.0,0.0,1,0,1,0,0,0,10,Normal,Transaction fits the user's usual behavior and current financial profile.,Approve transaction and continue monitoring behavior.
TX00048,U106,12,Male,892,High,Spender,2026-03-22,Sunday,March,Afternoon,Unknown_Online,445.84,Cash,0,417.0,311.86,0.35,0.5,0,0,0.0,1,0.0,0.0,0.0,0.0,1,0,0,1,0,0,59,Normal,Transaction fits the user's usual behavior and current financial profile.,Approve transaction and continue monitoring behavior.
TX00049,U104,13,Male,721,Medium,Saver,2026-02-02,Monday,February,Morning,Savings_Deposit,83.05,Card,0,1046.95,1130.0,1.57,0.12,118.95,118.95,0.0,2,0.0,0.0,0.0,0.0,2,0,0,0,0,0,0,Healthy_Saving,User is building savings consistently compared to monthly allowance.,Reward the user with city energy points and show saving progress.
TX00050,U080,16,Male,896,High,Balanced,2026-05-13,Wednesday,May,Evening,Unknown_Online,473.97,Apple_Pay,0,394.0,327.38,0.37,0.53,0,0,0.0,1,0.0,0.0,0.0,0.0,1,0,0,1,0,0,60,Normal,Transaction fits the user's usual behavior and current financial profile.,Approve transaction and continue monitoring behavior.
TX00051,U012,13,Female,569,High,Saver,2026-04-18,Saturday,April,Evening,Entertainment,50.92,Cash,1,658.0,659.62,1.16,0.09,0,0,0.0,1,0.0,0.0,1.0,1.0,1,0,0,0,0,0,0,Normal,Transaction fits the user's usual behavior and current financial profile.,Approve transaction and continue monitoring behavior.
TX00052,U060,13,Female,559,Medium,Balanced,2026-03-02,Monday,March,Evening,Savings_Deposit,147.9,Bank_Transfer,0,300.0,447.9,0.8,0.26,0,0,0.0,1,0.0,0.0,0.0,0.0,1,0,0,0,0,1,17,Healthy_Saving,User is building savings consistently compared to monthly allowance.,Reward the user with city energy points and show saving progress.
TX00053,U052,17,Male,301,High,Saver,2026-06-11,Thursday,June,Evening,Savings_Deposit,63.61,Card,0,953.0,903,3.0,0.21,0,0,0.0,1,0.0,0.0,0.0,0.0,1,0,0,0,0,0,5,Healthy_Saving,User is building savings consistently compared to monthly allowance.,Reward the user with city energy points and show saving progress.
TX00054,U102,14,Female,931,High,Balanced,2026-03-07,Saturday,March,Afternoon,Transportation,28.11,Apple_Pay,1,404.0,404.44,0.43,0.03,0,0,0.0,1,0.0,0.0,0.0,1.0,1,0,0,0,0,0,0,Normal,Transaction fits the user's usual behavior and current financial profile.,Approve transaction and continue monitoring behavior.
TX00055,U043,17,Female,336,High,Saver,2026-03-31,Tuesday,March,Night,Family_Budget,118.68,Apple_Pay,0,401.0,394.87,1.18,0.35,0,0,0.0,1,0.0,0.0,0.0,0.0,1,0,0,1,1,0,32,Normal,Transaction fits the user's usual behavior and current financial profile.,Approve transaction and continue monitoring behavior.
TX00056,U102,14,Female,931,High,Balanced,2026-04-25,Saturday,April,Night,Entertainment,95.92,Apple_Pay,1,404.44,394.71,0.42,0.1,28.11,28.11,0.0,1,0.0,0.0,0.5,1.0,2,0,0,0,1,0,9,Normal,Transaction fits the user's usual behavior and current financial profile.,Approve transaction and continue monitoring behavior.
TX00057,U009,17,Female,1446,Low,Spender,2026-04-14,Tuesday,April,Evening,Cafe_Restaurant,43.14,Bank_Transfer,0,204.31,196.97,0.14,0.03,94.59,94.59,0.0,1,0.5,0.0,0.5,0.69,2,0,0,0,0,0,4,Overspending,Spending is high compared to allowance and current saving behavior.,Suggest a weekly spending limit and show an alternative saving goal.
TX00058,U177,14,Female,740,High,Balanced,2026-04-03,Friday,April,Evening,Gaming,76.24,Apple_Pay,1,792.0,784.26,1.06,0.1,0,0,0.0,1,0.0,0.0,1.0,1.0,1,0,0,0,0,0,0,Normal,Transaction fits the user's usual behavior and current financial profile.,Approve transaction and continue monitoring behavior.
TX00059,U019,12,Female,1478,High,Spender,2026-01-21,Wednesday,January,Afternoon,Entertainment,156.16,Card,0,74.59,40.19,0.03,0.11,97.88,97.88,0.0,1,0.0,0.0,1.0,0.0,2,0,0,0,0,0,2,Overspending,Spending is high compared to allowance and current saving behavior.,Suggest a weekly spending limit and show an alternative saving goal.
TX00060,U089,13,Male,505,Medium,Balanced,2026-03-09,Monday,March,Evening,Cafe_Restaurant,37.21,Cash,0,249.0,245.94,0.49,0.07,0,0,0.0,1,1.0,0.0,0.0,0.0,1,0,0,0,0,0,0,Normal,Transaction fits the user's usual behavior and current financial profile.,Approve transaction and continue monitoring behavior.
TX00061,U120,17,Female,1478,High,Spender,2026-01-08,Thursday,January,Morning,Entertainment,140.88,Bank_Transfer,0,257.0,226.27,0.15,0.1,0,0,0.0,1,0.0,0.0,1.0,0.0,1,0,0,0,0,0,2,Overspending,Spending is high compared to allowance and current saving behavior.,Suggest a weekly spending limit and show an alternative saving goal.
TX00062,U156,13,Female,521,High,Balanced,2026-06-28,Sunday,June,Evening,Transportation,37.78,Apple_Pay,0,151.0,147.94,0.28,0.07,0,0,0.0,1,0.0,0.0,0.0,0.0,1,0,0,0,0,0,2,Normal,Transaction fits the user's usual behavior and current financial profile.,Approve transaction and continue monitoring behavior.
TX00063,U154,18,Female,1019,Low,Balanced,2026-05-19,Tuesday,May,Afternoon,Cafe_Restaurant,37.91,Apple_Pay,0,405.0,404.41,0.4,0.04,0,0,0.0,1,1.0,0.0,0.0,0.0,1,0,1,0,0,0,22,Normal,Transaction fits the user's usual behavior and current financial profile.,Approve transaction and continue monitoring behavior.
TX00064,U168,12,Female,809,High,Balanced,2026-05-01,Friday,May,Evening,Shopping,196.25,Card,1,265.32,239.93,0.3,0.24,64.83,64.83,0.0,1,0.5,0.0,0.0,0.75,2,0,0,0,0,0,3,Normal,Transaction fits the user's usual behavior and current financial profile.,Approve transaction and continue monitoring behavior.
TX00065,U054,15,Male,712,High,Saver,2026-04-06,Monday,April,Afternoon,Savings_Deposit,59.36,Apple_Pay,0,380.0,439.36,0.62,0.08,0,0,0.0,1,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,Healthy_Saving,User is building savings consistently compared to monthly allowance.,Reward the user with city energy points and show saving progress.
TX00066,U078,12,Male,880,Medium,Balanced,2026-03-03,Tuesday,March,Evening,Savings_Deposit,130.79,Cash,0,548.01,678.8,0.77,0.15,129.26,129.26,0.0,2,0.0,0.5,0.0,1.0,2,0,0,0,0,0,0,Healthy_Saving,User is building savings consistently compared to monthly allowance.,Reward the user with city energy points and show saving progress.
TX00067,U084,13,Male,908,Low,Balanced,2026-02-16,Monday,February,Morning,Cafe_Restaurant,39.22,Apple_Pay,0,421.0,419.66,0.46,0.04,0,0,0.0,1,1.0,0.0,0.0,0.0,1,0,0,0,0,0,0,Normal,Transaction fits the user's usual behavior and current financial profile.,Approve transaction and continue monitoring behavior.
TX00068,U072,18,Male,1181,Low,Spender,2026-02-17,Tuesday,February,Night,Education,101.81,Card,0,56.0,34.03,0.03,0.09,0,0,0.0,1,0.0,1.0,0.0,0.0,1,1,0,0,1,1,42,Smart_Purchase,Purchase supports learning and remains within a reasonable spending range.,Approve purchase and recommend a short financial learning challenge.
TX00069,U030,18,Male,1413,High,Spender,2026-05-08,Friday,May,Night,Entertainment,96.85,Apple_Pay,1,368.0,347.7,0.25,0.07,0,0,0.0,1,0.0,0.0,1.0,1.0,1,0,0,0,1,0,16,Overspending,Spending is high compared to allowance and current saving behavior.,Suggest a weekly spending limit and show an alternative saving goal.
TX00070,U057,18,Female,1227,High,Spender,2026-02-16,Monday,February,Afternoon,Shopping,245.0,Card,0,183.13,126.88,0.1,0.2,85.12,85.12,0.0,2,0.0,0.0,0.5,0.26,2,0,0,0,0,0,6,Overspending,Spending is high compared to allowance and current saving behavior.,Suggest a weekly spending limit and show an alternative saving goal.
TX00071,U111,16,Female,692,High,Saver,2026-01-09,Friday,January,Afternoon,Savings_Deposit,112.23,Cash,1,1014.0,1126.23,1.63,0.16,0,0,0.0,1,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,Healthy_Saving,User is building savings consistently compared to monthly allowance.,Reward the user with city energy points and show saving progress.
TX00072,U056,16,Male,902,High,Balanced,2026-05-21,Thursday,May,Evening,Education,56.92,Apple_Pay,0,643.0,638.97,0.71,0.06,0,0,0.0,1,0.0,1.0,0.0,0.0,1,0,0,0,0,0,0,Smart_Purchase,Purchase supports learning and remains within a reasonable spending range.,Approve purchase and recommend a short financial learning challenge.
TX00073,U029,15,Female,510,Medium,Balanced,2026-01-04,Sunday,January,Morning,Education,108.17,Card,0,519.0,505.32,0.99,0.21,0,0,0.0,1,0.0,1.0,0.0,0.0,1,1,0,0,0,0,19,Smart_Purchase,Purchase supports learning and remains within a reasonable spending range.,Approve purchase and recommend a short financial learning challenge.
TX00074,U078,12,Male,880,Medium,Balanced,2026-01-23,Friday,January,Afternoon,Gaming,100.95,Apple_Pay,1,678.8,668.06,0.76,0.11,130.02,130.02,0.0,3,0.0,0.33,0.33,1.0,3,0,0,0,0,0,0,Normal,Transaction fits the user's usual behavior and current financial profile.,Approve transaction and continue monitoring behavior.
TX00075,U165,15,Male,567,Low,Balanced,2026-01-28,Wednesday,January,Morning,Education,108.1,Apple_Pay,0,295.0,281.62,0.5,0.19,0,0,0.0,1,0.0,1.0,0.0,0.0,1,0,0,0,0,0,0,Smart_Purchase,Purchase supports learning and remains within a reasonable spending range.,Approve purchase and recommend a short financial learning challenge.
TX00076,U150,12,Male,770,Medium,Balanced,2026-02-04,Wednesday,February,Afternoon,Cafe_Restaurant,42.88,Cash,0,276.0,273.42,0.36,0.06,0,0,0.0,1,1.0,0.0,0.0,0.0,1,0,0,0,0,0,2,Normal,Transaction fits the user's usual behavior and current financial profile.,Approve transaction and continue monitoring behavior.
TX00077,U049,12,Male,659,Medium,Saver,2026-03-12,Thursday,March,Night,Shopping,60.5,Card,0,945.0,946.75,1.44,0.09,0,0,0.0,1,0.0,0.0,0.0,0.0,1,0,0,0,1,0,12,Normal,Transaction fits the user's usual behavior and current financial profile.,Approve transaction and continue monitoring behavior.
TX00078,U116,13,Male,1214,High,Spender,2026-06-13,Saturday,June,Evening,Transportation,52.02,Apple_Pay,1,255.0,245.04,0.2,0.04,0,0,0.0,1,0.0,0.0,0.0,1.0,1,0,0,0,0,0,0,Normal,Transaction fits the user's usual behavior and current financial profile.,Approve transaction and continue monitoring behavior.
TX00079,U066,15,Male,638,Medium,Saver,2026-04-10,Friday,April,Afternoon,Savings_Deposit,58.81,Card,1,313.0,371.81,0.58,0.09,0,0,0.0,1,0.0,0.0,0.0,0.0,1,0,0,0,0,0,0,Healthy_Saving,User is building savings consistently compared to monthly allowance.,Reward the user with city energy points and show saving progress.
TX00080,U105,12,Male,958,Medium,Spender,2026-02-03,Tuesday,February,Morning,Cafe_Restaurant,41.23,Apple_Pay,0,293.0,285.1,0.3,0.04,0,0,0.0,1,1.0,0.0,0.0,0.0,1,1,0,0,0,0,19,Normal,Transaction fits the user's usual behavior and current financial profile.,Approve transaction and continue monitoring behavior.
TX00081,U157,13,Male,914,Low,Balanced,2026-03-07,Saturday,March,Morning,Education,34.78,Cash,1,439.0,438.35,0.48,0.04,0,0,0.0,1,0.0,1.0,0.0,1.0,1,0,0,0,0,0,7,Smart_Purchase,Purchase supports learning and remains within a reasonable spending range.,Approve purchase and recommend a short financial learning challenge.
